Entity,Code,Date,people_vaccinated_per_hundred
Alabama,,2021-01-12,1.45
Alabama,,2021-01-13,1.53
Alabama,,2021-01-14,1.64
Alabama,,2021-01-15,1.77
Alabama,,2021-01-19,2.33
Alabama,,2021-01-20,2.47
Alabama,,2021-01-21,2.95
Alabama,,2021-01-22,3.56
Alabama,,2021-01-23,3.96
Alabama,,2021-01-24,4.36
Alabama,,2021-01-25,4.5
Alabama,,2021-01-26,4.57
Alabama,,2021-01-27,4.74
Alabama,,2021-01-28,4.92
Alabama,,2021-01-29,5.23
Alabama,,2021-01-30,5.88
Alabama,,2021-01-31,6.08
Alabama,,2021-02-01,6.15
Alabama,,2021-02-02,6.38
Alabama,,2021-02-03,6.63
Alabama,,2021-02-04,6.91
Alabama,,2021-02-05,7.21
Alabama,,2021-02-06,7.55
Alabama,,2021-02-07,7.66
Alabama,,2021-02-08,7.72
Alabama,,2021-02-09,8.06
Alabama,,2021-02-10,8.41
Alabama,,2021-02-11,8.8
Alabama,,2021-02-12,9.14
Alabama,,2021-02-13,9.53
Alabama,,2021-02-14,9.67
Alabama,,2021-02-16,9.92
Alabama,,2021-02-17,10.08
Alabama,,2021-02-18,10.31
Alabama,,2021-02-19,11.12
Alabama,,2021-02-20,11.44
Alabama,,2021-02-21,11.57
Alabama,,2021-02-22,11.63
Alabama,,2021-02-23,11.84
Alabama,,2021-02-24,12.05
Alabama,,2021-02-25,12.26
Alabama,,2021-02-26,12.5
Alabama,,2021-02-27,12.82
Alabama,,2021-02-28,12.95
Alabama,,2021-03-01,13.01
Alabama,,2021-03-02,13.21
Alabama,,2021-03-03,13.44
Alabama,,2021-03-04,13.72
Alabama,,2021-03-05,14.02
Alabama,,2021-03-06,14.35
Alabama,,2021-03-07,14.47
Alabama,,2021-03-08,14.95
Alabama,,2021-03-09,15.24
Alaska,,2021-01-12,3.07
Alaska,,2021-01-13,3.35
Alaska,,2021-01-14,4.85
Alaska,,2021-01-15,5.41
Alaska,,2021-01-19,7.58
Alaska,,2021-01-20,7.78
Alaska,,2021-01-21,8.13
Alaska,,2021-01-22,9.19
Alaska,,2021-01-23,9.98
Alaska,,2021-01-24,10.65
Alaska,,2021-01-25,10.97
Alaska,,2021-01-26,11.1
Alaska,,2021-01-27,11.4
Alaska,,2021-01-28,11.71
Alaska,,2021-01-29,12.12
Alaska,,2021-01-30,12.55
Alaska,,2021-01-31,12.97
Alaska,,2021-02-01,13.18
Alaska,,2021-02-02,13.27
Alaska,,2021-02-03,13.41
Alaska,,2021-02-04,13.61
Alaska,,2021-02-05,13.84
Alaska,,2021-02-06,14.1
Alaska,,2021-02-07,14.53
Alaska,,2021-02-08,15.02
Alaska,,2021-02-09,15.16
Alaska,,2021-02-10,15.37
Alaska,,2021-02-11,15.86
Alaska,,2021-02-12,16.16
Alaska,,2021-02-13,16.74
Alaska,,2021-02-14,17.28
Alaska,,2021-02-16,17.72
Alaska,,2021-02-17,17.87
Alaska,,2021-02-18,18.25
Alaska,,2021-02-19,19.67
Alaska,,2021-02-20,20.27
Alaska,,2021-02-21,20.83
Alaska,,2021-02-22,20.96
Alaska,,2021-02-23,21.1
Alaska,,2021-02-24,21.33
Alaska,,2021-02-25,21.67
Alaska,,2021-02-26,22.05
Alaska,,2021-02-27,22.34
Alaska,,2021-02-28,22.75
Alaska,,2021-03-01,22.93
Alaska,,2021-03-02,23.01
Alaska,,2021-03-03,23.27
Alaska,,2021-03-04,23.52
Alaska,,2021-03-05,23.81
Alaska,,2021-03-06,24.31
Alaska,,2021-03-07,24.68
Alaska,,2021-03-08,24.91
