Entity,Code,Date,people_vaccinated
Alabama,,2021-01-12,70861
Alabama,,2021-01-13,74792
Alabama,,2021-01-14,80480
Alabama,,2021-01-15,86956
Alabama,,2021-01-19,114319
Alabama,,2021-01-20,121113
Alabama,,2021-01-21,144429
Alabama,,2021-01-22,174317
Alabama,,2021-01-23,193955
Alabama,,2021-01-24,213833
Alabama,,2021-01-25,220464
Alabama,,2021-01-26,223854
Alabama,,2021-01-27,232633
Alabama,,2021-01-28,241337
Alabama,,2021-01-29,256601
Alabama,,2021-01-30,288368
Alabama,,2021-01-31,298301
Alabama,,2021-02-01,301628
Alabama,,2021-02-02,312711
Alabama,,2021-02-03,324998
Alabama,,2021-02-04,338845
Alabama,,2021-02-05,353522
Alabama,,2021-02-06,370275
Alabama,,2021-02-07,375567
Alabama,,2021-02-08,378514
Alabama,,2021-02-09,395196
Alabama,,2021-02-10,412462
Alabama,,2021-02-11,431259
Alabama,,2021-02-12,448071
Alabama,,2021-02-13,467032
Alabama,,2021-02-14,474065
Alabama,,2021-02-16,486206
Alabama,,2021-02-17,494424
Alabama,,2021-02-18,505660
Alabama,,2021-02-19,545431
Alabama,,2021-02-20,560968
Alabama,,2021-02-21,567505
Alabama,,2021-02-22,570355
Alabama,,2021-02-23,580477
Alabama,,2021-02-24,591009
Alabama,,2021-02-25,601343
Alabama,,2021-02-26,613097
Alabama,,2021-02-27,628583
Alabama,,2021-02-28,634792
Alabama,,2021-03-01,637989
Alabama,,2021-03-02,647752
Alabama,,2021-03-03,658906
Alabama,,2021-03-04,672546
Alabama,,2021-03-05,687445
Alabama,,2021-03-06,703725
Alabama,,2021-03-07,709736
Alabama,,2021-03-08,732967
Alabama,,2021-03-09,747268
Alaska,,2021-01-12,22486
Alaska,,2021-01-13,24541
Alaska,,2021-01-14,35508
Alaska,,2021-01-15,39546
Alaska,,2021-01-19,55434
Alaska,,2021-01-20,56911
Alaska,,2021-01-21,59449
Alaska,,2021-01-22,67262
Alaska,,2021-01-23,73014
Alaska,,2021-01-24,77925
Alaska,,2021-01-25,80226
Alaska,,2021-01-26,81200
Alaska,,2021-01-27,83363
Alaska,,2021-01-28,85672
Alaska,,2021-01-29,88654
Alaska,,2021-01-30,91794
Alaska,,2021-01-31,94889
Alaska,,2021-02-01,96396
Alaska,,2021-02-02,97076
Alaska,,2021-02-03,98076
Alaska,,2021-02-04,99596
Alaska,,2021-02-05,101225
Alaska,,2021-02-06,103163
Alaska,,2021-02-07,106311
Alaska,,2021-02-08,109890
Alaska,,2021-02-09,110936
Alaska,,2021-02-10,112448
Alaska,,2021-02-11,116001
Alaska,,2021-02-12,118189
Alaska,,2021-02-13,122463
Alaska,,2021-02-14,126381
Alaska,,2021-02-16,129658
Alaska,,2021-02-17,130751
Alaska,,2021-02-18,133491
Alaska,,2021-02-19,143887
Alaska,,2021-02-20,148299
Alaska,,2021-02-21,152349
Alaska,,2021-02-22,153349
Alaska,,2021-02-23,154392
Alaska,,2021-02-24,156027
Alaska,,2021-02-25,158560
Alaska,,2021-02-26,161333
Alaska,,2021-02-27,163443
Alaska,,2021-02-28,166432
Alaska,,2021-03-01,167759
Alaska,,2021-03-02,168315
Alaska,,2021-03-03,170243
Alaska,,2021-03-04,172050
Alaska,,2021-03-05,174208
Alaska,,2021-03-06,177865
Alaska,,2021-03-07,180563
Alaska,,2021-03-08,182230
Alaska,,2021-03-09,184906
American Samoa,ASM,2021-01-12,842
American Samoa,ASM,2021-01-13,1193
American Samoa,ASM,2021-01-14,2409
American Samoa,ASM,2021-01-15,3144
American Samoa,ASM,2021-01-19,3985
American Samoa,ASM,2021-01-20,4476
American Samoa,ASM,2021-01-21,4734
American Samoa,ASM,2021-01-22,5627
American Samoa,ASM,2021-01-23,5881
American Samoa,ASM,2021-01-24,7096
American Samoa,ASM,2021-01-25,7096
American Samoa,ASM,2021-01-26,7365
American Samoa,ASM,2021-01-27,8133
American Samoa,ASM,2021-01-28,8133
American Samoa,ASM,2021-01-29,8926
American Samoa,ASM,2021-01-30,8926
American Samoa,ASM,2021-01-31,8926
American Samoa,ASM,2021-02-01,9713
American Samoa,ASM,2021-02-02,9713
American Samoa,ASM,2021-02-03,9759
American Samoa,ASM,2021-02-04,9761
American Samoa,ASM,2021-02-05,9775
American Samoa,ASM,2021-02-06,9779
American Samoa,ASM,2021-02-07,9779
American Samoa,ASM,2021-02-08,9779
American Samoa,ASM,2021-02-09,9792
American Samoa,ASM,2021-02-10,9818
American Samoa,ASM,2021-02-11,9822
American Samoa,ASM,2021-02-12,10057
American Samoa,ASM,2021-02-13,10062
American Samoa,ASM,2021-02-14,10062
American Samoa,ASM,2021-02-16,10236
American Samoa,ASM,2021-02-17,10267
American Samoa,ASM,2021-02-18,10267
American Samoa,ASM,2021-02-19,10267
American Samoa,ASM,2021-02-20,10831
American Samoa,ASM,2021-02-21,10948
American Samoa,ASM,2021-02-22,10978
American Samoa,ASM,2021-02-23,10978
American Samoa,ASM,2021-02-24,11738
American Samoa,ASM,2021-02-25,11738
American Samoa,ASM,2021-02-26,12275
American Samoa,ASM,2021-02-27,12276
American Samoa,ASM,2021-02-28,12276
American Samoa,ASM,2021-03-01,12276
American Samoa,ASM,2021-03-02,12949
American Samoa,ASM,2021-03-03,12949
American Samoa,ASM,2021-03-04,13386
American Samoa,ASM,2021-03-05,13386
American Samoa,ASM,2021-03-06,13386
American Samoa,ASM,2021-03-07,13386
American Samoa,ASM,2021-03-08,13469
American Samoa,ASM,2021-03-09,13471
Arizona,,2021-01-12,95141
Arizona,,2021-01-13,104387
Arizona,,2021-01-14,157397
Arizona,,2021-01-15,176213
Arizona,,2021-01-19,235331
Arizona,,2021-01-20,246960
Arizona,,2021-01-21,262120
Arizona,,2021-01-22,280227
Arizona,,2021-01-23,305744
Arizona,,2021-01-24,332095
Arizona,,2021-01-25,350648
Arizona,,2021-01-26,366018
Arizona,,2021-01-27,389059
Arizona,,2021-01-28,412841
Arizona,,2021-01-29,439897
Arizona,,2021-01-30,469916
Arizona,,2021-01-31,500942
Arizona,,2021-02-01,524413
Arizona,,2021-02-02,534476
Arizona,,2021-02-03,553373
Arizona,,2021-02-04,573845
Arizona,,2021-02-05,597525
Arizona,,2021-02-06,629750
Arizona,,2021-02-07,656909
Arizona,,2021-02-08,678697
Arizona,,2021-02-09,695970
Arizona,,2021-02-10,719051
Arizona,,2021-02-11,747599
Arizona,,2021-02-12,780057
Arizona,,2021-02-13,811080
Arizona,,2021-02-14,840252
Arizona,,2021-02-16,886107
Arizona,,2021-02-17,892791
Arizona,,2021-02-18,914468
Arizona,,2021-02-19,1036237
Arizona,,2021-02-20,1064109
Arizona,,2021-02-21,1087921
Arizona,,2021-02-22,1108935
Arizona,,2021-02-23,1121773
Arizona,,2021-02-24,1137371
Arizona,,2021-02-25,1163157
Arizona,,2021-02-26,1196045
Arizona,,2021-02-27,1223520
Arizona,,2021-02-28,1250251
Arizona,,2021-03-01,1275068
Arizona,,2021-03-02,1293835
Arizona,,2021-03-03,1308334
Arizona,,2021-03-04,1329996
Arizona,,2021-03-05,1356443
Arizona,,2021-03-06,1358649
Arizona,,2021-03-07,1421436
Arizona,,2021-03-08,1416598
Arizona,,2021-03-09,1435152
Arkansas,,2021-01-12,39357
Arkansas,,2021-01-13,80458
Arkansas,,2021-01-14,90339
Arkansas,,2021-01-15,97829
Arkansas,,2021-01-19,118763
Arkansas,,2021-01-20,144792
Arkansas,,2021-01-21,144792
Arkansas,,2021-01-22,167788
Arkansas,,2021-01-23,167788
Arkansas,,2021-01-24,179290
Arkansas,,2021-01-25,185546
Arkansas,,2021-01-26,196815
Arkansas,,2021-01-27,209445
Arkansas,,2021-01-28,209445
Arkansas,,2021-01-29,221552
Arkansas,,2021-01-30,233935
Arkansas,,2021-01-31,244867
Arkansas,,2021-02-01,249943
Arkansas,,2021-02-02,251841
Arkansas,,2021-02-03,256307
Arkansas,,2021-02-04,266563
Arkansas,,2021-02-05,274459
Arkansas,,2021-02-06,290153
Arkansas,,2021-02-07,300139
Arkansas,,2021-02-08,304604
Arkansas,,2021-02-09,305917
Arkansas,,2021-02-10,311339
Arkansas,,2021-02-11,316972
Arkansas,,2021-02-12,325562
Arkansas,,2021-02-13,330146
Arkansas,,2021-02-14,338611
Arkansas,,2021-02-16,343637
Arkansas,,2021-02-17,345271
Arkansas,,2021-02-18,346623
Arkansas,,2021-02-19,362972
Arkansas,,2021-02-20,364735
Arkansas,,2021-02-21,367436
Arkansas,,2021-02-22,370403
Arkansas,,2021-02-23,372786
Arkansas,,2021-02-24,378225
Arkansas,,2021-02-25,384549
Arkansas,,2021-02-26,394007
Arkansas,,2021-02-27,404883
Arkansas,,2021-02-28,418453
Arkansas,,2021-03-01,424534
Arkansas,,2021-03-02,430748
Arkansas,,2021-03-03,441126
Arkansas,,2021-03-04,451127
Arkansas,,2021-03-05,463108
Arkansas,,2021-03-06,475550
Arkansas,,2021-03-07,487494
Arkansas,,2021-03-08,494761
Arkansas,,2021-03-09,501653
Bureau of Prisons,,2021-01-12,5199
Bureau of Prisons,,2021-01-13,5395
Bureau of Prisons,,2021-01-14,13997
Bureau of Prisons,,2021-01-15,14565
Bureau of Prisons,,2021-01-19,15500
Bureau of Prisons,,2021-01-20,15949
Bureau of Prisons,,2021-01-21,17003
Bureau of Prisons,,2021-01-22,17316
Bureau of Prisons,,2021-01-23,18296
Bureau of Prisons,,2021-01-24,18965
Bureau of Prisons,,2021-01-25,18988
Bureau of Prisons,,2021-01-26,19471
Bureau of Prisons,,2021-01-27,20415
Bureau of Prisons,,2021-01-28,21081
Bureau of Prisons,,2021-01-29,21674
Bureau of Prisons,,2021-01-30,22486
Bureau of Prisons,,2021-01-31,22725
Bureau of Prisons,,2021-02-01,22725
Bureau of Prisons,,2021-02-02,23200
Bureau of Prisons,,2021-02-03,24049
Bureau of Prisons,,2021-02-04,24858
Bureau of Prisons,,2021-02-05,25657
Bureau of Prisons,,2021-02-06,26167
Bureau of Prisons,,2021-02-07,26410
Bureau of Prisons,,2021-02-08,26410
Bureau of Prisons,,2021-02-09,26770
Bureau of Prisons,,2021-02-10,27564
Bureau of Prisons,,2021-02-11,28139
Bureau of Prisons,,2021-02-12,29060
Bureau of Prisons,,2021-02-13,29797
Bureau of Prisons,,2021-02-14,30193
Bureau of Prisons,,2021-02-16,30719
Bureau of Prisons,,2021-02-17,30901
Bureau of Prisons,,2021-02-18,31146
Bureau of Prisons,,2021-02-19,31519
Bureau of Prisons,,2021-02-20,32074
Bureau of Prisons,,2021-02-21,32591
Bureau of Prisons,,2021-02-22,32591
Bureau of Prisons,,2021-02-23,32628
Bureau of Prisons,,2021-02-24,32980
Bureau of Prisons,,2021-02-25,33533
Bureau of Prisons,,2021-02-26,34841
Bureau of Prisons,,2021-02-27,36064
Bureau of Prisons,,2021-02-28,36995
Bureau of Prisons,,2021-03-01,36995
Bureau of Prisons,,2021-03-02,37239
Bureau of Prisons,,2021-03-03,38000
Bureau of Prisons,,2021-03-04,40290
Bureau of Prisons,,2021-03-05,42853
Bureau of Prisons,,2021-03-06,43896
Bureau of Prisons,,2021-03-07,44090
Bureau of Prisons,,2021-03-08,44090
Bureau of Prisons,,2021-03-09,44155
California,,2021-01-12,703540
California,,2021-01-13,744545
California,,2021-01-14,801998
California,,2021-01-15,865387
California,,2021-01-19,1195969
California,,2021-01-20,1255311
California,,2021-01-21,1335886
California,,2021-01-22,1477195
California,,2021-01-23,1661683
California,,2021-01-24,1838464
California,,2021-01-25,1954048
California,,2021-01-26,2053652
California,,2021-01-27,2156029
California,,2021-01-28,2281453
