Entity,Code,Date,people_fully_vaccinated
Alabama,,2021-01-12,7270
Alabama,,2021-01-13,9245
Alabama,,2021-01-15,13488
Alabama,,2021-01-19,16346
Alabama,,2021-01-20,17956
Alabama,,2021-01-21,21345
Alabama,,2021-01-22,24840
Alabama,,2021-01-23,27422
Alabama,,2021-01-24,29736
Alabama,,2021-01-25,29978
Alabama,,2021-01-26,30933
Alabama,,2021-01-27,33595
Alabama,,2021-01-28,37431
Alabama,,2021-01-29,44073
Alabama,,2021-01-30,53742
Alabama,,2021-01-31,55331
Alabama,,2021-02-01,56308
Alabama,,2021-02-02,58825
Alabama,,2021-02-03,62990
Alabama,,2021-02-04,69155
Alabama,,2021-02-05,76603
Alabama,,2021-02-06,84278
Alabama,,2021-02-07,86141
Alabama,,2021-02-08,88453
Alabama,,2021-02-09,95033
Alabama,,2021-02-10,102520
Alabama,,2021-02-11,111036
Alabama,,2021-02-12,122019
Alabama,,2021-02-13,133029
Alabama,,2021-02-14,137032
Alabama,,2021-02-16,149288
Alabama,,2021-02-17,154341
Alabama,,2021-02-18,165104
Alabama,,2021-02-19,192304
Alabama,,2021-02-20,214512
Alabama,,2021-02-21,219639
Alabama,,2021-02-22,221785
Alabama,,2021-02-23,233073
Alabama,,2021-02-24,247024
Alabama,,2021-02-25,261689
Alabama,,2021-02-26,278985
Alabama,,2021-02-27,300548
Alabama,,2021-02-28,305731
Alabama,,2021-03-01,308416
Alabama,,2021-03-02,322346
Alabama,,2021-03-03,338967
Alabama,,2021-03-04,357384
Alabama,,2021-03-05,374826
Alabama,,2021-03-06,393619
Alabama,,2021-03-07,398035
Alabama,,2021-03-08,409937
Alabama,,2021-03-09,420083
Alaska,,2021-01-12,5400
Alaska,,2021-01-13,6166
Alaska,,2021-01-15,9406
Alaska,,2021-01-19,10802
Alaska,,2021-01-20,11283
Alaska,,2021-01-21,12352
Alaska,,2021-01-22,13718
Alaska,,2021-01-23,15206
Alaska,,2021-01-24,16201
Alaska,,2021-01-25,16673
Alaska,,2021-01-26,16815
Alaska,,2021-01-27,18097
Alaska,,2021-01-28,20045
Alaska,,2021-01-29,21593
Alaska,,2021-01-30,23320
Alaska,,2021-01-31,24545
Alaska,,2021-02-01,25467
Alaska,,2021-02-02,26207
Alaska,,2021-02-03,27528
Alaska,,2021-02-04,30172
Alaska,,2021-02-05,32593
Alaska,,2021-02-06,35773
Alaska,,2021-02-07,39541
Alaska,,2021-02-08,40812
Alaska,,2021-02-09,41698
Alaska,,2021-02-10,43552
Alaska,,2021-02-11,46006
Alaska,,2021-02-12,48969
Alaska,,2021-02-13,52380
Alaska,,2021-02-14,57117
Alaska,,2021-02-16,60964
Alaska,,2021-02-17,62474
Alaska,,2021-02-18,65245
Alaska,,2021-02-19,71892
Alaska,,2021-02-20,78623
Alaska,,2021-02-21,82272
Alaska,,2021-02-22,84385
Alaska,,2021-02-23,84984
Alaska,,2021-02-24,87061
Alaska,,2021-02-25,90416
Alaska,,2021-02-26,92407
Alaska,,2021-02-27,95485
Alaska,,2021-02-28,97692
Alaska,,2021-03-01,100024
Alaska,,2021-03-02,101000
Alaska,,2021-03-03,102472
Alaska,,2021-03-04,104193
Alaska,,2021-03-05,106597
Alaska,,2021-03-06,110078
Alaska,,2021-03-07,113792
Alaska,,2021-03-08,115635
